x,y,z,inclinacion,azimuth,mode,medida_daq
0.25,-0.25,0.75,0,0,r_vertical,-2.78903
0.25,-0.25,0.75,0,0,r_vertical,-2.79166
0.25,-0.25,0.75,0,0,r_vertical,-2.7887
0.25,-0.25,0.75,0,0,r_vertical,-2.78146
0.25,-0.25,0.75,0,0,r_vertical,-2.78673
0.25,-0.25,0.75,0,0,r_vertical,-2.78607
0.25,-0.25,0.75,0,0,r_vertical,-2.79134
0.25,-0.25,0.75,0,0,r_vertical,-2.79298
0.25,-0.25,0.75,0,0,r_vertical,-2.79166
0.25,-0.25,0.75,0,0,r_vertical,-2.78344
0.25,-0.25,0.75,0,0,r_vertical,-2.78015
0.25,-0.25,0.75,0,0,r_vertical,-2.78772
0.25,-0.25,0.75,0,0,r_vertical,-2.77423
0.25,-0.25,0.75,0,0,r_vertical,-2.79726
0.25,-0.25,0.75,0,0,r_vertical,-2.78772
0.25,-0.25,0.75,0,0,r_vertical,-2.78081
0.25,-0.25,0.75,0,0,r_vertical,-2.78114
0.25,-0.25,0.75,0,0,r_vertical,-2.78969
0.25,-0.25,0.75,0,0,r_vertical,-2.78476
0.25,-0.25,0.75,0,0,r_vertical,-2.78805
0.25,-0.25,0.75,0,0,r_vertical,-2.78245
0.25,-0.25,0.75,0,0,r_vertical,-2.78015
0.25,-0.25,0.75,0,0,r_vertical,-2.79199
0.25,-0.25,0.75,0,0,r_vertical,-2.78739
0.25,-0.25,0.75,0,0,r_vertical,-2.78805
0.25,-0.25,0.75,0,0,r_vertical,-2.7887
0.25,-0.25,0.75,0,0,r_vertical,-2.79265
0.25,-0.25,0.75,0,0,r_vertical,-2.79495
0.25,-0.25,0.75,0,0,r_vertical,-2.79166
0.25,-0.25,0.75,0,0,r_vertical,-2.7943
0.25,-0.25,0.75,0,0,r_vertical,-2.79331
0.25,-0.25,0.75,0,0,r_vertical,-2.79068
0.25,-0.25,0.75,0,0,r_vertical,-2.78377
0.25,-0.25,0.75,0,0,r_vertical,-2.78772
0.25,-0.25,0.75,0,0,r_vertical,-2.79068
0.25,-0.25,0.75,0,0,r_vertical,-2.78936
0.25,-0.25,0.75,0,0,r_vertical,-2.78377
0.25,-0.25,0.75,0,0,r_vertical,-2.81075
0.25,-0.25,0.75,0,0,r_vertical,-2.80186
0.25,-0.25,0.75,0,0,r_vertical,-2.7864
0.25,-0.25,0.75,0,0,r_vertical,-2.7887
0.25,-0.25,0.75,0,0,r_vertical,-2.79298
0.25,-0.25,0.75,0,0,r_vertical,-2.78936
0.25,-0.25,0.75,0,0,r_vertical,-2.78903
0.25,-0.25,0.75,0,0,r_vertical,-2.79134
0.25,-0.25,0.75,0,0,r_vertical,-2.78476
0.25,-0.25,0.75,0,0,r_vertical,-2.79495
0.25,-0.25,0.75,0,0,r_vertical,-2.79463
0.25,-0.25,0.75,0,0,r_vertical,-2.79265
0.25,-0.25,0.75,0,0,r_vertical,-2.79166
0.25,-0.25,0.75,0,0,r_vertical,-2.7887
0.25,-0.25,0.75,0,0,r_vertical,-2.78311
0.25,-0.25,0.75,0,0,r_vertical,-2.78508
0.25,-0.25,0.75,0,0,r_vertical,-2.76567
0.25,-0.25,0.75,0,0,r_vertical,-2.78739
0.25,-0.25,0.75,0,0,r_vertical,-2.78541
0.25,-0.25,0.75,0,0,r_vertical,-2.79134
0.25,-0.25,0.75,0,0,r_vertical,-2.80647
0.25,-0.25,0.75,0,0,r_vertical,-2.79495
0.25,-0.25,0.75,0,0,r_vertical,-2.78114
0.25,-0.25,0.75,0,0,r_vertical,-2.77949
0.25,-0.25,0.75,0,0,r_vertical,-2.78048
0.25,-0.25,0.75,0,0,r_vertical,-2.78278
0.25,-0.25,0.75,0,0,r_vertical,-2.79199
0.25,-0.25,0.75,0,0,r_vertical,-2.79792
0.25,-0.25,0.75,0,0,r_vertical,-2.78903
0.25,-0.25,0.75,0,0,r_vertical,-2.78377
0.25,-0.25,0.75,0,0,r_vertical,-2.79166
0.25,-0.25,0.75,0,0,r_vertical,-2.79134
0.25,-0.25,0.75,0,0,r_vertical,-2.78969
0.25,-0.25,0.75,0,0,r_vertical,-2.78476
0.25,-0.25,0.75,0,0,r_vertical,-2.78245
0.25,-0.25,0.75,0,0,r_vertical,-2.79759
0.25,-0.25,0.75,0,0,r_vertical,-2.79561
0.25,-0.25,0.75,0,0,r_vertical,-2.79989
0.25,-0.25,0.75,0,0,r_vertical,-2.78739
0.25,-0.25,0.75,0,0,r_vertical,-2.78607
0.25,-0.25,0.75,0,0,r_vertical,-2.78772
0.25,-0.25,0.75,0,0,r_vertical,-2.79825
0.25,-0.25,0.75,0,0,r_vertical,-2.79693
0.25,-0.25,0.75,0,0,r_vertical,-2.78903
0.25,-0.25,0.75,0,0,r_vertical,-2.7864
0.25,-0.25,0.75,0,0,r_vertical,-2.78476
0.25,-0.25,0.75,0,0,r_vertical,-2.78541
0.25,-0.25,0.75,0,0,r_vertical,-2.78212
0.25,-0.25,0.75,0,0,r_vertical,-2.79035
0.25,-0.25,0.75,0,0,r_vertical,-2.79002
0.25,-0.25,0.75,0,0,r_vertical,-2.79528
0.25,-0.25,0.75,0,0,r_vertical,-2.79002
0.25,-0.25,0.75,0,0,r_vertical,-2.78739
0.25,-0.25,0.75,0,0,r_vertical,-2.78673
0.25,-0.25,0.75,0,0,r_vertical,-2.79166
0.25,-0.25,0.75,0,0,r_vertical,-2.76929
0.25,-0.25,0.75,0,0,r_vertical,-2.79397
0.25,-0.25,0.75,0,0,r_vertical,-2.79265
0.25,-0.25,0.75,0,0,r_vertical,-2.78772
0.25,-0.25,0.75,0,0,r_vertical,-2.78772
0.25,-0.25,0.75,0,0,r_vertical,-2.78574
0.25,-0.25,0.75,0,0,r_vertical,-2.7785
0.25,-0.25,0.75,0,0,r_vertical,-2.7943
0.25,-0.25,0.75,0,0,r_vertical,-2.79331
0.25,-0.25,0.75,0,0,r_vertical,-2.79134
0.25,-0.25,0.75,0,0,r_vertical,-2.79364
0.25,-0.25,0.75,0,0,r_vertical,-2.79364
0.25,-0.25,0.75,0,0,r_vertical,-2.78969
0.25,-0.25,0.75,0,0,r_vertical,-2.79298
0.25,-0.25,0.75,0,0,r_vertical,-2.7943
0.25,-0.25,0.75,0,0,r_vertical,-2.78673
0.25,-0.25,0.75,0,0,r_vertical,-2.78245
0.25,-0.25,0.75,0,0,r_vertical,-2.79101
0.25,-0.25,0.75,0,0,r_vertical,-2.79495
0.25,-0.25,0.75,0,0,r_vertical,-2.79199
0.25,-0.25,0.75,0,0,r_vertical,-2.79101
0.25,-0.25,0.75,0,0,r_vertical,-2.7739
0.25,-0.25,0.75,0,0,r_vertical,-2.79068
0.25,-0.25,0.75,0,0,r_vertical,-2.79397
0.25,-0.25,0.75,0,0,r_vertical,-2.7943
0.25,-0.25,0.75,0,0,r_vertical,-2.77817
0.25,-0.25,0.75,0,0,r_vertical,-2.817
0.25,-0.25,0.75,0,0,r_vertical,-2.78179
0.25,-0.25,0.75,0,0,r_vertical,-2.78476
0.25,-0.25,0.75,0,0,r_vertical,-2.79035
0.25,-0.25,0.75,0,0,r_vertical,-2.79298
0.25,-0.25,0.75,0,0,r_vertical,-2.78969
0.25,-0.25,0.75,0,0,r_vertical,-2.78245
0.25,-0.25,0.75,0,0,r_vertical,-2.79265
0.25,-0.25,0.75,0,0,r_vertical,-2.78673
0.25,-0.25,0.75,0,0,r_vertical,-2.78146
0.25,-0.25,0.75,0,0,r_vertical,-2.79265
0.25,-0.25,0.75,0,0,r_vertical,-2.79265
0.25,-0.25,0.75,0,0,r_vertical,-2.79397
0.25,-0.25,0.75,0,0,r_vertical,-2.78772
0.25,-0.25,0.75,0,0,r_vertical,-2.79232
0.25,-0.25,0.75,0,0,r_vertical,-2.7887
0.25,-0.25,0.75,0,0,r_vertical,-2.79232
0.25,-0.25,0.75,0,0,r_vertical,-2.79068
0.25,-0.25,0.75,0,0,r_vertical,-2.79495
0.25,-0.25,0.75,0,0,r_vertical,-2.78508
0.25,-0.25,0.75,0,0,r_vertical,-2.78541
0.25,-0.25,0.75,0,0,r_vertical,-2.78673
0.25,-0.25,0.75,0,0,r_vertical,-2.78508
0.25,-0.25,0.75,0,0,r_vertical,-2.7841
0.25,-0.25,0.75,0,0,r_vertical,-2.78706
0.25,-0.25,0.75,0,0,r_vertical,-2.78936
0.25,-0.25,0.75,0,0,r_vertical,-2.79101
0.25,-0.25,0.75,0,0,r_vertical,-2.78377
0.25,-0.25,0.75,0,0,r_vertical,-2.79166
0.25,-0.25,0.75,0,0,r_vertical,-2.78903
0.25,-0.25,0.75,0,0,r_vertical,-2.78344
0.25,-0.25,0.75,0,0,r_vertical,-2.78245
0.25,-0.25,0.75,0,0,r_vertical,-2.78969
0.25,-0.25,0.75,0,0,r_vertical,-2.79199
0.25,-0.25,0.75,0,0,r_vertical,-2.7841
0.25,-0.25,0.75,0,0,r_vertical,-2.78311
0.25,-0.25,0.75,0,0,r_vertical,-2.78048
0.25,-0.25,0.75,0,0,r_vertical,-2.78936
0.25,-0.25,0.75,0,0,r_vertical,-2.79232
0.25,-0.25,0.75,0,0,r_vertical,-2.79002
0.25,-0.25,0.75,0,0,r_vertical,-2.80779
0.25,-0.25,0.75,0,0,r_vertical,-2.78015
0.25,-0.25,0.75,0,0,r_vertical,-2.77949
