Case,K,Budget,RMS_full_cm,RMS_conditional_cm,Coverage_percent
1,1,per_orientation,Inf,NaN,0
1,2,per_orientation,Inf,NaN,0
1,3,per_orientation,Inf,101612.949579807,96.0270498732037
1,4,per_orientation,Inf,300654.67813958,99.6618765849535
1,5,per_orientation,1433711.57271728,1433711.57271728,100
1,6,per_orientation,1138568.72132098,1138568.72132098,100
1,7,per_orientation,869430.762007028,869430.762007028,100
1,8,per_orientation,1115423.34036661,1115423.34036661,100
1,9,per_orientation,772297.685858628,772297.685858628,100
1,10,per_orientation,746360.892123228,746360.892123228,100
1,11,per_orientation,651771.989568387,651771.989568387,100
1,12,per_orientation,755978.492290332,755978.492290332,100
1,13,per_orientation,603686.717291591,603686.717291591,100
1,14,per_orientation,597480.795569992,597480.795569992,100
1,15,per_orientation,613345.824689097,613345.824689097,100
2,1,per_orientation,Inf,NaN,0
2,2,per_orientation,Inf,NaN,0
2,3,per_orientation,Inf,1.80546774984019,96.0270498732037
2,4,per_orientation,Inf,2.88304124496956,99.6618765849535
2,5,per_orientation,4.41341009337827,4.41341009337827,100
2,6,per_orientation,3.62261869771003,3.62261869771003,100
2,7,per_orientation,2.98556938785767,2.98556938785767,100
2,8,per_orientation,3.23049893738585,3.23049893738585,100
2,9,per_orientation,2.60935984862714,2.60935984862714,100
2,10,per_orientation,2.50091896884053,2.50091896884053,100
2,11,per_orientation,2.26601981712416,2.26601981712416,100
2,12,per_orientation,2.37962732138526,2.37962732138526,100
2,13,per_orientation,2.08341034005425,2.08341034005425,100
2,14,per_orientation,2.03349739577362,2.03349739577362,100
2,15,per_orientation,2.03556151007575,2.03556151007575,100
3,1,per_orientation,Inf,NaN,0
3,2,per_orientation,Inf,NaN,0
3,3,per_orientation,Inf,0.730176896547462,96.0270498732037
3,4,per_orientation,Inf,0.704471447490273,99.6618765849535
3,5,per_orientation,0.714418974719238,0.714418974719238,100
3,6,per_orientation,0.630309772810562,0.630309772810562,100
3,7,per_orientation,0.564954611790316,0.564954611790316,100
3,8,per_orientation,0.543234764765326,0.543234764765326,100
3,9,per_orientation,0.495605857992737,0.495605857992737,100
3,10,per_orientation,0.471189825282872,0.471189825282872,100
3,11,per_orientation,0.44319711252834,0.44319711252834,100
3,12,per_orientation,0.43370179705831,0.43370179705831,100
3,13,per_orientation,0.4073747652527,0.4073747652527,100
3,14,per_orientation,0.393843702086956,0.393843702086956,100
3,15,per_orientation,0.383531027217269,0.383531027217269,100
4,1,per_orientation,Inf,NaN,0
4,2,per_orientation,Inf,NaN,0
4,3,per_orientation,Inf,0.750798142035697,96.0270498732037
4,4,per_orientation,Inf,0.664963632731208,99.6618765849535
4,5,per_orientation,0.612803978155728,0.612803978155728,100
4,6,per_orientation,0.554438485485228,0.554438485485228,100
4,7,per_orientation,0.508937209479552,0.508937209479552,100
4,8,per_orientation,0.47843367776792,0.47843367776792,100
4,9,per_orientation,0.448023368647214,0.448023368647214,100
4,10,per_orientation,0.425208518137967,0.425208518137967,100
4,11,per_orientation,0.403970626411241,0.403970626411241,100
4,12,per_orientation,0.388892077836153,0.388892077836153,100
4,13,per_orientation,0.371493042318917,0.371493042318917,100
4,14,per_orientation,0.358304693723264,0.358304693723264,100
4,15,per_orientation,0.346777421029835,0.346777421029835,100
