x,y,z,inclinacion,azimuth,mode,medida_daq
0.8,0.2,0.75,20,0,r_vertical,-4.04657
0.8,0.2,0.75,20,0,r_vertical,-4.03735
0.8,0.2,0.75,20,0,r_vertical,-4.04986
0.8,0.2,0.75,20,0,r_vertical,-4.04163
0.8,0.2,0.75,20,0,r_vertical,-4.04657
0.8,0.2,0.75,20,0,r_vertical,-4.05019
0.8,0.2,0.75,20,0,r_vertical,-4.03439
0.8,0.2,0.75,20,0,r_vertical,-4.04986
0.8,0.2,0.75,20,0,r_vertical,-4.03735
0.8,0.2,0.75,20,0,r_vertical,-4.04854
0.8,0.2,0.75,20,0,r_vertical,-4.05019
0.8,0.2,0.75,20,0,r_vertical,-4.03374
0.8,0.2,0.75,20,0,r_vertical,-4.04558
0.8,0.2,0.75,20,0,r_vertical,-4.03966
0.8,0.2,0.75,20,0,r_vertical,-4.0367
0.8,0.2,0.75,20,0,r_vertical,-4.04986
0.8,0.2,0.75,20,0,r_vertical,-4.04591
0.8,0.2,0.75,20,0,r_vertical,-4.03768
0.8,0.2,0.75,20,0,r_vertical,-4.04887
0.8,0.2,0.75,20,0,r_vertical,-4.04064
0.8,0.2,0.75,20,0,r_vertical,-4.0367
0.8,0.2,0.75,20,0,r_vertical,-4.05117
0.8,0.2,0.75,20,0,r_vertical,-4.04032
0.8,0.2,0.75,20,0,r_vertical,-4.04394
0.8,0.2,0.75,20,0,r_vertical,-4.05348
0.8,0.2,0.75,20,0,r_vertical,-4.04032
0.8,0.2,0.75,20,0,r_vertical,-4.05249
0.8,0.2,0.75,20,0,r_vertical,-4.04788
0.8,0.2,0.75,20,0,r_vertical,-4.04097
0.8,0.2,0.75,20,0,r_vertical,-4.05216
0.8,0.2,0.75,20,0,r_vertical,-4.03406
0.8,0.2,0.75,20,0,r_vertical,-4.05315
0.8,0.2,0.75,20,0,r_vertical,-4.04525
0.8,0.2,0.75,20,0,r_vertical,-4.03505
0.8,0.2,0.75,20,0,r_vertical,-4.04788
0.8,0.2,0.75,20,0,r_vertical,-4.04032
0.8,0.2,0.75,20,0,r_vertical,-4.03505
0.8,0.2,0.75,20,0,r_vertical,-4.05019
0.8,0.2,0.75,20,0,r_vertical,-4.03933
0.8,0.2,0.75,20,0,r_vertical,-4.04163
0.8,0.2,0.75,20,0,r_vertical,-4.03571
0.8,0.2,0.75,20,0,r_vertical,-4.04821
0.8,0.2,0.75,20,0,r_vertical,-4.04953
0.8,0.2,0.75,20,0,r_vertical,-4.03406
0.8,0.2,0.75,20,0,r_vertical,-4.04097
0.8,0.2,0.75,20,0,r_vertical,-4.04986
0.8,0.2,0.75,20,0,r_vertical,-4.03768
0.8,0.2,0.75,20,0,r_vertical,-4.0515
0.8,0.2,0.75,20,0,r_vertical,-4.03341
0.8,0.2,0.75,20,0,r_vertical,-4.04459
0.8,0.2,0.75,20,0,r_vertical,-4.04821
0.8,0.2,0.75,20,0,r_vertical,-4.04755
0.8,0.2,0.75,20,0,r_vertical,-4.04064
0.8,0.2,0.75,20,0,r_vertical,-4.04459
0.8,0.2,0.75,20,0,r_vertical,-4.0492
0.8,0.2,0.75,20,0,r_vertical,-4.03505
0.8,0.2,0.75,20,0,r_vertical,-4.04492
0.8,0.2,0.75,20,0,r_vertical,-4.04558
0.8,0.2,0.75,20,0,r_vertical,-4.04459
0.8,0.2,0.75,20,0,r_vertical,-4.03505
0.8,0.2,0.75,20,0,r_vertical,-4.0469
0.8,0.2,0.75,20,0,r_vertical,-4.03834
0.8,0.2,0.75,20,0,r_vertical,-4.04295
0.8,0.2,0.75,20,0,r_vertical,-4.0492
0.8,0.2,0.75,20,0,r_vertical,-4.03406
0.8,0.2,0.75,20,0,r_vertical,-4.0469
0.8,0.2,0.75,20,0,r_vertical,-4.04361
0.8,0.2,0.75,20,0,r_vertical,-4.03604
0.8,0.2,0.75,20,0,r_vertical,-4.05019
0.8,0.2,0.75,20,0,r_vertical,-4.04558
0.8,0.2,0.75,20,0,r_vertical,-4.04821
0.8,0.2,0.75,20,0,r_vertical,-4.03505
0.8,0.2,0.75,20,0,r_vertical,-4.05117
0.8,0.2,0.75,20,0,r_vertical,-4.05052
0.8,0.2,0.75,20,0,r_vertical,-4.04361
0.8,0.2,0.75,20,0,r_vertical,-4.03406
0.8,0.2,0.75,20,0,r_vertical,-4.0492
0.8,0.2,0.75,20,0,r_vertical,-4.03242
0.8,0.2,0.75,20,0,r_vertical,-4.04854
0.8,0.2,0.75,20,0,r_vertical,-4.03735
0.8,0.2,0.75,20,0,r_vertical,-4.03933
0.8,0.2,0.75,20,0,r_vertical,-4.04755
0.8,0.2,0.75,20,0,r_vertical,-4.03571
0.8,0.2,0.75,20,0,r_vertical,-4.04032
0.8,0.2,0.75,20,0,r_vertical,-4.0515
0.8,0.2,0.75,20,0,r_vertical,-4.03867
0.8,0.2,0.75,20,0,r_vertical,-4.04821
0.8,0.2,0.75,20,0,r_vertical,-4.04064
0.8,0.2,0.75,20,0,r_vertical,-4.04032
0.8,0.2,0.75,20,0,r_vertical,-4.04328
0.8,0.2,0.75,20,0,r_vertical,-4.03867
0.8,0.2,0.75,20,0,r_vertical,-4.04755
0.8,0.2,0.75,20,0,r_vertical,-4.039
0.8,0.2,0.75,20,0,r_vertical,-4.039
0.8,0.2,0.75,20,0,r_vertical,-4.04459
0.8,0.2,0.75,20,0,r_vertical,-4.04492
0.8,0.2,0.75,20,0,r_vertical,-4.04262
0.8,0.2,0.75,20,0,r_vertical,-4.03834
0.8,0.2,0.75,20,0,r_vertical,-4.03735
0.8,0.2,0.75,20,0,r_vertical,-4.0469
0.8,0.2,0.75,20,0,r_vertical,-4.04361
0.8,0.2,0.75,20,0,r_vertical,-4.04032
0.8,0.2,0.75,20,0,r_vertical,-4.0492
0.8,0.2,0.75,20,0,r_vertical,-4.03538
0.8,0.2,0.75,20,0,r_vertical,-4.05019
0.8,0.2,0.75,20,0,r_vertical,-4.03834
0.8,0.2,0.75,20,0,r_vertical,-4.04755
0.8,0.2,0.75,20,0,r_vertical,-4.0413
0.8,0.2,0.75,20,0,r_vertical,-4.04097
0.8,0.2,0.75,20,0,r_vertical,-4.04854
0.8,0.2,0.75,20,0,r_vertical,-4.04262
0.8,0.2,0.75,20,0,r_vertical,-4.03209
0.8,0.2,0.75,20,0,r_vertical,-4.04525
0.8,0.2,0.75,20,0,r_vertical,-4.04854
0.8,0.2,0.75,20,0,r_vertical,-4.039
0.8,0.2,0.75,20,0,r_vertical,-4.0469
0.8,0.2,0.75,20,0,r_vertical,-4.05052
0.8,0.2,0.75,20,0,r_vertical,-4.02979
0.8,0.2,0.75,20,0,r_vertical,-4.04821
0.8,0.2,0.75,20,0,r_vertical,-4.03703
0.8,0.2,0.75,20,0,r_vertical,-4.04295
0.8,0.2,0.75,20,0,r_vertical,-4.04657
0.8,0.2,0.75,20,0,r_vertical,-4.03045
0.8,0.2,0.75,20,0,r_vertical,-4.04591
0.8,0.2,0.75,20,0,r_vertical,-4.03308
0.8,0.2,0.75,20,0,r_vertical,-4.04591
0.8,0.2,0.75,20,0,r_vertical,-4.04492
0.8,0.2,0.75,20,0,r_vertical,-4.03505
0.8,0.2,0.75,20,0,r_vertical,-4.04591
0.8,0.2,0.75,20,0,r_vertical,-4.04361
0.8,0.2,0.75,20,0,r_vertical,-4.04097
0.8,0.2,0.75,20,0,r_vertical,-4.0367
0.8,0.2,0.75,20,0,r_vertical,-4.04953
0.8,0.2,0.75,20,0,r_vertical,-4.03834
0.8,0.2,0.75,20,0,r_vertical,-4.04394
0.8,0.2,0.75,20,0,r_vertical,-4.04361
0.8,0.2,0.75,20,0,r_vertical,-4.05052
0.8,0.2,0.75,20,0,r_vertical,-4.04229
0.8,0.2,0.75,20,0,r_vertical,-4.02946
0.8,0.2,0.75,20,0,r_vertical,-4.05019
0.8,0.2,0.75,20,0,r_vertical,-4.03604
0.8,0.2,0.75,20,0,r_vertical,-4.03933
0.8,0.2,0.75,20,0,r_vertical,-4.04295
0.8,0.2,0.75,20,0,r_vertical,-4.04591
0.8,0.2,0.75,20,0,r_vertical,-4.04163
0.8,0.2,0.75,20,0,r_vertical,-4.04953
0.8,0.2,0.75,20,0,r_vertical,-4.03571
0.8,0.2,0.75,20,0,r_vertical,-4.04624
0.8,0.2,0.75,20,0,r_vertical,-4.0367
0.8,0.2,0.75,20,0,r_vertical,-4.05249
0.8,0.2,0.75,20,0,r_vertical,-4.04459
0.8,0.2,0.75,20,0,r_vertical,-4.05282
0.8,0.2,0.75,20,0,r_vertical,-4.03505
0.8,0.2,0.75,20,0,r_vertical,-4.04328
0.8,0.2,0.75,20,0,r_vertical,-4.04854
0.8,0.2,0.75,20,0,r_vertical,-4.04394
0.8,0.2,0.75,20,0,r_vertical,-4.04262
0.8,0.2,0.75,20,0,r_vertical,-4.03242
0.8,0.2,0.75,20,0,r_vertical,-4.04525
0.8,0.2,0.75,20,0,r_vertical,-4.05282
0.8,0.2,0.75,20,0,r_vertical,-4.03505
0.8,0.2,0.75,20,0,r_vertical,-4.0492
0.8,0.2,0.75,20,0,r_vertical,-4.03604
0.8,0.2,0.75,20,0,r_vertical,-4.0469
0.8,0.2,0.75,20,0,r_vertical,-4.03505
0.8,0.2,0.75,20,0,r_vertical,-4.05052
0.8,0.2,0.75,20,0,r_vertical,-4.04723
0.8,0.2,0.75,20,0,r_vertical,-4.03933
0.8,0.2,0.75,20,0,r_vertical,-4.04821
0.8,0.2,0.75,20,0,r_vertical,-4.03604
0.8,0.2,0.75,20,0,r_vertical,-4.05249
0.8,0.2,0.75,20,0,r_vertical,-4.04887
0.8,0.2,0.75,20,0,r_vertical,-4.03703
0.8,0.2,0.75,20,0,r_vertical,-4.04558
0.8,0.2,0.75,20,0,r_vertical,-4.04459
0.8,0.2,0.75,20,0,r_vertical,-4.04591
0.8,0.2,0.75,20,0,r_vertical,-4.0469
0.8,0.2,0.75,20,0,r_vertical,-4.05348
0.8,0.2,0.75,20,0,r_vertical,-4.04196
0.8,0.2,0.75,20,0,r_vertical,-4.0311
0.8,0.2,0.75,20,0,r_vertical,-4.04953
0.8,0.2,0.75,20,0,r_vertical,-4.03012
0.8,0.2,0.75,20,0,r_vertical,-4.0515
0.8,0.2,0.75,20,0,r_vertical,-4.03966
0.8,0.2,0.75,20,0,r_vertical,-4.04887
0.8,0.2,0.75,20,0,r_vertical,-4.03966
0.8,0.2,0.75,20,0,r_vertical,-4.03801
0.8,0.2,0.75,20,0,r_vertical,-4.05282
0.8,0.2,0.75,20,0,r_vertical,-4.03505
0.8,0.2,0.75,20,0,r_vertical,-4.04394
0.8,0.2,0.75,20,0,r_vertical,-4.04755
0.8,0.2,0.75,20,0,r_vertical,-4.04624
0.8,0.2,0.75,20,0,r_vertical,-4.04821
0.8,0.2,0.75,20,0,r_vertical,-4.03933
0.8,0.2,0.75,20,0,r_vertical,-4.04295
0.8,0.2,0.75,20,0,r_vertical,-4.04755
0.8,0.2,0.75,20,0,r_vertical,-4.03209
0.8,0.2,0.75,20,0,r_vertical,-4.04394
0.8,0.2,0.75,20,0,r_vertical,-4.04295
0.8,0.2,0.75,20,0,r_vertical,-4.04755
0.8,0.2,0.75,20,0,r_vertical,-4.03999
0.8,0.2,0.75,20,0,r_vertical,-4.04723
0.8,0.2,0.75,20,0,r_vertical,-4.04986
0.8,0.2,0.75,20,0,r_vertical,-4.03505
0.8,0.2,0.75,20,0,r_vertical,-4.05019
0.8,0.2,0.75,20,0,r_vertical,-4.04558
0.8,0.2,0.75,20,0,r_vertical,-4.03209
0.8,0.2,0.75,20,0,r_vertical,-4.05117
0.8,0.2,0.75,20,0,r_vertical,-4.04163
0.8,0.2,0.75,20,0,r_vertical,-4.04163
0.8,0.2,0.75,20,0,r_vertical,-4.04295
0.8,0.2,0.75,20,0,r_vertical,-4.04591
0.8,0.2,0.75,20,0,r_vertical,-4.039
0.8,0.2,0.75,20,0,r_vertical,-4.04591
0.8,0.2,0.75,20,0,r_vertical,-4.04887
0.8,0.2,0.75,20,0,r_vertical,-4.03538
0.8,0.2,0.75,20,0,r_vertical,-4.04887
0.8,0.2,0.75,20,0,r_vertical,-4.039
0.8,0.2,0.75,20,0,r_vertical,-4.04394
0.8,0.2,0.75,20,0,r_vertical,-4.04558
0.8,0.2,0.75,20,0,r_vertical,-4.03275
0.8,0.2,0.75,20,0,r_vertical,-4.0515
0.8,0.2,0.75,20,0,r_vertical,-4.03703
0.8,0.2,0.75,20,0,r_vertical,-4.03143
0.8,0.2,0.75,20,0,r_vertical,-4.04986
0.8,0.2,0.75,20,0,r_vertical,-4.03538
0.8,0.2,0.75,20,0,r_vertical,-4.04525
0.8,0.2,0.75,20,0,r_vertical,-4.04657
0.8,0.2,0.75,20,0,r_vertical,-4.0367
0.8,0.2,0.75,20,0,r_vertical,-4.04196
0.8,0.2,0.75,20,0,r_vertical,-4.04525
0.8,0.2,0.75,20,0,r_vertical,-4.0413
0.8,0.2,0.75,20,0,r_vertical,-4.04788
0.8,0.2,0.75,20,0,r_vertical,-4.03045
0.8,0.2,0.75,20,0,r_vertical,-4.04624
0.8,0.2,0.75,20,0,r_vertical,-4.03735
0.8,0.2,0.75,20,0,r_vertical,-4.03933
0.8,0.2,0.75,20,0,r_vertical,-4.04426
0.8,0.2,0.75,20,0,r_vertical,-4.03637
0.8,0.2,0.75,20,0,r_vertical,-4.04887
0.8,0.2,0.75,20,0,r_vertical,-4.03801
0.8,0.2,0.75,20,0,r_vertical,-4.0367
0.8,0.2,0.75,20,0,r_vertical,-4.04723
0.8,0.2,0.75,20,0,r_vertical,-4.04262
0.8,0.2,0.75,20,0,r_vertical,-4.05052
0.8,0.2,0.75,20,0,r_vertical,-4.03768
0.8,0.2,0.75,20,0,r_vertical,-4.04854
0.8,0.2,0.75,20,0,r_vertical,-4.04723
0.8,0.2,0.75,20,0,r_vertical,-4.05019
0.8,0.2,0.75,20,0,r_vertical,-4.03176
0.8,0.2,0.75,20,0,r_vertical,-4.04492
0.8,0.2,0.75,20,0,r_vertical,-4.04196
0.8,0.2,0.75,20,0,r_vertical,-4.04723
0.8,0.2,0.75,20,0,r_vertical,-4.03571
0.8,0.2,0.75,20,0,r_vertical,-4.04755
0.8,0.2,0.75,20,0,r_vertical,-4.03242
0.8,0.2,0.75,20,0,r_vertical,-4.03834
0.8,0.2,0.75,20,0,r_vertical,-4.04426
0.8,0.2,0.75,20,0,r_vertical,-4.03308
0.8,0.2,0.75,20,0,r_vertical,-4.04723
0.8,0.2,0.75,20,0,r_vertical,-4.04064
0.8,0.2,0.75,20,0,r_vertical,-4.04492
0.8,0.2,0.75,20,0,r_vertical,-4.04624
0.8,0.2,0.75,20,0,r_vertical,-4.03735
0.8,0.2,0.75,20,0,r_vertical,-4.04262
0.8,0.2,0.75,20,0,r_vertical,-4.04986
0.8,0.2,0.75,20,0,r_vertical,-4.03571
0.8,0.2,0.75,20,0,r_vertical,-4.03933
0.8,0.2,0.75,20,0,r_vertical,-4.04591
0.8,0.2,0.75,20,0,r_vertical,-4.03834
0.8,0.2,0.75,20,0,r_vertical,-4.04953
0.8,0.2,0.75,20,0,r_vertical,-4.04361
0.8,0.2,0.75,20,0,r_vertical,-4.04525
0.8,0.2,0.75,20,0,r_vertical,-4.04986
0.8,0.2,0.75,20,0,r_vertical,-4.03867
0.8,0.2,0.75,20,0,r_vertical,-4.03735
0.8,0.2,0.75,20,0,r_vertical,-4.04788
0.8,0.2,0.75,20,0,r_vertical,-4.03966
0.8,0.2,0.75,20,0,r_vertical,-4.03209
0.8,0.2,0.75,20,0,r_vertical,-4.04328
0.8,0.2,0.75,20,0,r_vertical,-4.04788
0.8,0.2,0.75,20,0,r_vertical,-4.03538
0.8,0.2,0.75,20,0,r_vertical,-4.04821
0.8,0.2,0.75,20,0,r_vertical,-4.04657
0.8,0.2,0.75,20,0,r_vertical,-4.03374
0.8,0.2,0.75,20,0,r_vertical,-4.04986
0.8,0.2,0.75,20,0,r_vertical,-4.0367
0.8,0.2,0.75,20,0,r_vertical,-4.04755
0.8,0.2,0.75,20,0,r_vertical,-4.04591
0.8,0.2,0.75,20,0,r_vertical,-4.04854
0.8,0.2,0.75,20,0,r_vertical,-4.03571
0.8,0.2,0.75,20,0,r_vertical,-4.04854
0.8,0.2,0.75,20,0,r_vertical,-4.03406
0.8,0.2,0.75,20,0,r_vertical,-4.04723
0.8,0.2,0.75,20,0,r_vertical,-4.04196
0.8,0.2,0.75,20,0,r_vertical,-4.04459
0.8,0.2,0.75,20,0,r_vertical,-4.04854
0.8,0.2,0.75,20,0,r_vertical,-4.03472
0.8,0.2,0.75,20,0,r_vertical,-4.04887
0.8,0.2,0.75,20,0,r_vertical,-4.03439
0.8,0.2,0.75,20,0,r_vertical,-4.04591
0.8,0.2,0.75,20,0,r_vertical,-4.0469
0.8,0.2,0.75,20,0,r_vertical,-4.04262
0.8,0.2,0.75,20,0,r_vertical,-4.03275
0.8,0.2,0.75,20,0,r_vertical,-4.04723
0.8,0.2,0.75,20,0,r_vertical,-4.04723
0.8,0.2,0.75,20,0,r_vertical,-4.03077
0.8,0.2,0.75,20,0,r_vertical,-4.04854
0.8,0.2,0.75,20,0,r_vertical,-4.04591
0.8,0.2,0.75,20,0,r_vertical,-4.03834
0.8,0.2,0.75,20,0,r_vertical,-4.03341
0.8,0.2,0.75,20,0,r_vertical,-4.05183
0.8,0.2,0.75,20,0,r_vertical,-4.03933
0.8,0.2,0.75,20,0,r_vertical,-4.04525
0.8,0.2,0.75,20,0,r_vertical,-4.0469
0.8,0.2,0.75,20,0,r_vertical,-4.05084
0.8,0.2,0.75,20,0,r_vertical,-4.03637
0.8,0.2,0.75,20,0,r_vertical,-4.0469
0.8,0.2,0.75,20,0,r_vertical,-4.03439
0.8,0.2,0.75,20,0,r_vertical,-4.04064
0.8,0.2,0.75,20,0,r_vertical,-4.04821
0.8,0.2,0.75,20,0,r_vertical,-4.02946
0.8,0.2,0.75,20,0,r_vertical,-4.04558
0.8,0.2,0.75,20,0,r_vertical,-4.03209
0.8,0.2,0.75,20,0,r_vertical,-4.04755
0.8,0.2,0.75,20,0,r_vertical,-4.05117
0.8,0.2,0.75,20,0,r_vertical,-4.03933
0.8,0.2,0.75,20,0,r_vertical,-4.04953
0.8,0.2,0.75,20,0,r_vertical,-4.03538
0.8,0.2,0.75,20,0,r_vertical,-4.04788
0.8,0.2,0.75,20,0,r_vertical,-4.03999
0.8,0.2,0.75,20,0,r_vertical,-4.04624
0.8,0.2,0.75,20,0,r_vertical,-4.03374
0.8,0.2,0.75,20,0,r_vertical,-4.03538
0.8,0.2,0.75,20,0,r_vertical,-4.04591
0.8,0.2,0.75,20,0,r_vertical,-4.03538
0.8,0.2,0.75,20,0,r_vertical,-4.04821
0.8,0.2,0.75,20,0,r_vertical,-4.04755
0.8,0.2,0.75,20,0,r_vertical,-4.03275
0.8,0.2,0.75,20,0,r_vertical,-4.04953
0.8,0.2,0.75,20,0,r_vertical,-4.03834
0.8,0.2,0.75,20,0,r_vertical,-4.04163
0.8,0.2,0.75,20,0,r_vertical,-4.04657
0.8,0.2,0.75,20,0,r_vertical,-4.03242
0.8,0.2,0.75,20,0,r_vertical,-4.04986
0.8,0.2,0.75,20,0,r_vertical,-4.03143
0.8,0.2,0.75,20,0,r_vertical,-4.04624
0.8,0.2,0.75,20,0,r_vertical,-4.04361
0.8,0.2,0.75,20,0,r_vertical,-4.04657
0.8,0.2,0.75,20,0,r_vertical,-4.04032
0.8,0.2,0.75,20,0,r_vertical,-4.0492
0.8,0.2,0.75,20,0,r_vertical,-4.03768
0.8,0.2,0.75,20,0,r_vertical,-4.04755
0.8,0.2,0.75,20,0,r_vertical,-4.0492
0.8,0.2,0.75,20,0,r_vertical,-4.0367
0.8,0.2,0.75,20,0,r_vertical,-4.0469
0.8,0.2,0.75,20,0,r_vertical,-4.04262
0.8,0.2,0.75,20,0,r_vertical,-4.04558
0.8,0.2,0.75,20,0,r_vertical,-4.03439
0.8,0.2,0.75,20,0,r_vertical,-4.04887
0.8,0.2,0.75,20,0,r_vertical,-4.03242
0.8,0.2,0.75,20,0,r_vertical,-4.04887
0.8,0.2,0.75,20,0,r_vertical,-4.04064
0.8,0.2,0.75,20,0,r_vertical,-4.03341
0.8,0.2,0.75,20,0,r_vertical,-4.0492
0.8,0.2,0.75,20,0,r_vertical,-4.0367
0.8,0.2,0.75,20,0,r_vertical,-4.04821
0.8,0.2,0.75,20,0,r_vertical,-4.03505
0.8,0.2,0.75,20,0,r_vertical,-4.04953
0.8,0.2,0.75,20,0,r_vertical,-4.04394
0.8,0.2,0.75,20,0,r_vertical,-4.04459
0.8,0.2,0.75,20,0,r_vertical,-4.03966
0.8,0.2,0.75,20,0,r_vertical,-4.0367
0.8,0.2,0.75,20,0,r_vertical,-4.04887
0.8,0.2,0.75,20,0,r_vertical,-4.04591
0.8,0.2,0.75,20,0,r_vertical,-4.03933
0.8,0.2,0.75,20,0,r_vertical,-4.05249
0.8,0.2,0.75,20,0,r_vertical,-4.03768
0.8,0.2,0.75,20,0,r_vertical,-4.04788
0.8,0.2,0.75,20,0,r_vertical,-4.04591
0.8,0.2,0.75,20,0,r_vertical,-4.04459
0.8,0.2,0.75,20,0,r_vertical,-4.0469
0.8,0.2,0.75,20,0,r_vertical,-4.03571
0.8,0.2,0.75,20,0,r_vertical,-4.04459
0.8,0.2,0.75,20,0,r_vertical,-4.03341
