BaseIndex,HalfAngle_deg,FOV_deg,K,Pattern,Budget,RequiredArea_mm2,TotalSamples,Area_mm2,RMS_full_cm,RMS_conditional_cm,Worst_cm,RegularCoverage_percent,TargetCoverage_percent,Feasible
1,15,45,3,uniform_cone,per_orientation,Inf,3000,25,Inf,952.367513097777,Inf,70.0760777683855,3.97295012679628,0
1,15,45,3,uniform_cone,per_orientation,Inf,3000,50,Inf,476.183756548888,Inf,70.0760777683855,6.67793744716822,0
1,15,45,3,uniform_cone,per_orientation,Inf,3000,75.4,Inf,315.771721849396,Inf,70.0760777683855,11.7497886728656,0
1,15,45,3,uniform_cone,per_orientation,Inf,3000,100,Inf,238.091878274444,Inf,70.0760777683855,11.7497886728656,0
1,15,45,3,uniform_cone,per_orientation,Inf,3000,125,Inf,190.473502619555,Inf,70.0760777683855,13.4404057480981,0
1,15,45,3,uniform_cone,per_orientation,Inf,3000,150,Inf,158.72791884963,Inf,70.0760777683855,14.792899408284,0
2,30,45,3,uniform_cone,per_orientation,Inf,3000,25,Inf,23.6444181189675,Inf,70.0760777683855,3.63482671174979,0
2,30,45,3,uniform_cone,per_orientation,Inf,3000,50,Inf,11.8222090594838,Inf,70.0760777683855,9.5519864750634,0
2,30,45,3,uniform_cone,per_orientation,Inf,3000,75.4,Inf,7.83966118002902,Inf,70.0760777683855,15.0464919695689,0
2,30,45,3,uniform_cone,per_orientation,Inf,3000,100,Inf,5.91110452974188,Inf,70.0760777683855,21.0481825866441,0
2,30,45,3,uniform_cone,per_orientation,Inf,3000,125,Inf,4.7288836237935,Inf,70.0760777683855,27.134404057481,0
2,30,45,3,uniform_cone,per_orientation,Inf,3000,150,Inf,3.94073635316125,Inf,70.0760777683855,31.8681318681319,0
3,45,45,3,uniform_cone,per_orientation,Inf,3000,25,Inf,18.8297410083496,Inf,70.0760777683855,2.53592561284869,0
3,45,45,3,uniform_cone,per_orientation,Inf,3000,50,Inf,9.41487050417481,Inf,70.0760777683855,8.53761622992392,0
